sample_id,result_dir,mask_ratio,method,layer,n,rmse,mae,cos,pearson_r
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,all_holdout,6091389,0.029346954052863805,0.00544899325764549,0.89408320608274,0.8942162493412285
151673,seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,all_holdout,6053512,0.03150804419950402,0.005857161858626773,0.8476728639391167,0.8478388580367344
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,all_holdout,12791022,0.05102848696851975,0.008896636585999887,0.7062992539367716,0.7049110440096122
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,all_holdout,4769830,0.030110885861810217,0.004938653482505114,0.8521105631889696,0.8519089307278644
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,all_holdout,5629381,0.04185871990463669,0.007942986074144126,0.7759419403444964,0.7755513004196358
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,Mean Baseline,all_holdout,5992262,0.022037193547728144,0.002185874403759761,0.9200802776511547,0.9196311943745591
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,Mean Baseline,all_holdout,5521560,0.02124889423793132,0.002040604019447257,0.9197080608026567,0.9193023284582208
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,Mean Baseline,all_holdout,6540251,0.022281693161311903,0.0022618643110064673,0.9195135213889445,0.9190292867906871
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,Mean Baseline,all_holdout,6234353,0.02172170262016985,0.0021888862275676103,0.9205724130373194,0.9201267378148293
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,all_holdout,6532881,0.022277997606041138,0.002413911028015742,0.9384287611166681,0.9379873100090516
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,all_holdout,4847211,0.019657293145965135,0.0021136340090789005,0.9508544487946907,0.9505285614310766
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,all_holdout,8501281,0.02360328362577816,0.002388229225103163,0.9344825305680301,0.9340217663587203
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,all_holdout,6091389,0.020754914884545877,0.0022503225605498976,0.9455633077227522,0.9451868510170969
151673,seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,all_holdout,6053512,0.022271504129194444,0.0023277509530715834,0.9179124372887537,0.9174083101938751
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,all_holdout,12791022,0.026533584964421465,0.002781119338402977,0.884905246009308,0.8841459024854971
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,all_holdout,4769830,0.020776095255638984,0.002197022749726992,0.9210847212817198,0.9206398438847266
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,Mean Baseline,all_holdout,5629381,0.023828396360514946,0.0026670724587563753,0.9077819117734524,0.9071544351446338
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,Multiple Imputation,all_holdout,5992262,0.0277310796003303,0.006438449688501209,0.8756302710753139,0.8773916503300919
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,Multiple Imputation,all_holdout,5521560,0.02580886929740189,0.005884456388150119,0.8830043062584254,0.8847472139599053
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,Multiple Imputation,all_holdout,6540251,0.027324848315329782,0.006306600150295231,0.8807482736652564,0.8822679204111343
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,Multiple Imputation,all_holdout,6234353,0.02582638512426878,0.005854042338859672,0.8884147453667861,0.8898461944457968
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,all_holdout,6532881,0.027915329640721846,0.006538272813464704,0.9043844052139703,0.9055645376595489
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,all_holdout,4847211,0.02383538051786346,0.005527500474023365,0.9280949021926476,0.92907708026061
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,all_holdout,8501281,0.029628106097480646,0.006857780714351191,0.8974481431360963,0.8987307164288016
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,all_holdout,6091389,0.025902661649426992,0.006320275446947121,0.9158849620057119,0.9172513495237851
151673,seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,all_holdout,6053512,0.026882392577905628,0.006111631509068364,0.8818122030492963,0.8831211146910771
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,all_holdout,12791022,0.034197765341906286,0.007952647713092715,0.8149198448828204,0.8165663434289123
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,all_holdout,4769830,0.02406078536926434,0.005289348505764622,0.8941966383869134,0.8952837722816988
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,Multiple Imputation,all_holdout,5629381,0.028547107640110665,0.006443339397877173,0.8686143337832315,0.8696904938746234
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,SoftImpute,all_holdout,5992262,0.04647751151830741,0.0036090314619947497,0.6816856855552925,0.6801907968719195
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,SoftImpute,all_holdout,5521560,0.044382414121292194,0.003305343923836099,0.6796253242014607,0.6783174614244897
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,SoftImpute,all_holdout,6540251,0.04824046256217151,0.00381548818725854,0.6554162816118434,0.6537263171066799
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,SoftImpute,all_holdout,6234353,0.046356181091770206,0.003589828359945741,0.6689841347004168,0.6674783523453848
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,all_holdout,6532881,0.0409509885517381,0.003782937228302393,0.8335163001169358,0.8323920179044914
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,all_holdout,4847211,0.03908133422269745,0.003501396148703372,0.8456320963602154,0.8446836438725505
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,all_holdout,8501281,0.04528836894978104,0.004014169868129129,0.8076413155229648,0.8064127800094667
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,all_holdout,6091389,0.040567534785859144,0.0036788212754944264,0.8358385140033634,0.8347797703848434
151673,seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,all_holdout,6053512,0.04372036159410665,0.003593591898889762,0.7376648895178026,0.7361991827816593
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,all_holdout,12791022,0.04668298894479821,0.0039053953708478068,0.693579392316283,0.6916345297199533
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,SoftImpute,all_holdout,4769830,0.040287383427511494,0.0032450889601086507,0.7384026190912177,0.7371085576033282
